ID;;;LinkGoogleMap;NOME ARCHIVIO;Indirizzo;Comune;Provincia;Latitudine;Longitudine;Link a ERChives
6;;;https://www.google.it/maps/place/A.N.G.E.L.O.+VINTAGE+PALACE/@44.4171869,11.9058593,17z/data=!3m1!4b1!4m5!3m4!1s0x477e032b08dfe731:0x5eb8fe765eaa9dde!8m2!3d44.4171831!4d11.908048?hl=it;A.N.G.E.L.O. Vintage Archive;Corso Garibaldi 59;Lugo;RA;44.4171869;11.9058593;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=6
11;;;https://www.google.it/maps/search/labirinto+della+moda,+Corso+Alberto+Pio+91,%09Carpi/@44.7822398,10.882638,17z/data=!3m1!4b1?hl=it;Archivi del Labirinto della Moda;Corso Alberto Pio 91;Carpi;MO;44.7822398;10.882638;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=11
8;;;https://www.google.it/maps/place/Mazzini+Srl/@44.4472104,11.8073451,17z/data=!3m1!4b1!4m5!3m4!1s0x477e1ea68ab89da5:0xd8f6c345996e0a19!8m2!3d44.4472066!4d11.8095338?hl=it;Archivi Mazzini;VIA CASTELLETTO 112;MASSA LOMBARDA ;RA;44.4472104;11.8073451;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=8
9;;;https://www.google.it/maps/place/Fondazione+Fashion+Research+Italy+-+FRI/@44.501435,11.4014748,17z/data=!3m1!4b1!4m5!3m4!1s0x477fd4b8efe35e19:0x5aaccdf8fb3ec8bf!8m2!3d44.5014312!4d11.4036688?hl=it;Archivio di textile design FRI;Via del Fonditore, 12;Bologna;BO;44.501435;11.4014748;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=9
15;;;https://www.google.it/maps/place/CSAC+-+Centro+Studi+e+Archivio+della+Comunicazione+dellUniversit%C3%A0+di+Parma/@44.8564812,10.3449284,17z/data=!3m1!4b1!4m5!3m4!1s0x40544ecf61f48967:0xb74c7fd168afa922!8m2!3d44.8564774!4d10.3471224?hl=it;Centro Studi e Archivio della Comunicazione (CSAC) Univ. Di Parma;strada viazza di Paradigna 1;Parma;PR;44.8564812;10.3449284;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=15
7;;;https://www.google.it/maps/place/Punto+Pi%C3%B9+S.n.c./@44.1126846,12.4210077,17z/data=!3m1!4b1!4m5!3m4!1s0x132ca5083ce40011:0x9a89061f4317bf12!8m2!3d44.1126808!4d12.4231964?hl=it;Decorazioni Alta Moda;Via San Crispino 55 / 55A;San Mauro Pascoli;FC;44.1126846;12.4210077;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=7
13;;;https://www.google.it/maps/place/Formificio+Romagnolo+Spa/@44.2182236,12.0615193,17z/data=!3m1!4b1!4m5!3m4!1s0x132b57fb069626b5:0xa40067a99e577fcc!8m2!3d44.2182198!4d12.0637133?hl=it;I ricordi del Formificio Romagnolo;VIA DRAGONI, 43;FORLI';FC;44.2182236;12.0615193;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=13
12;;;https://www.google.it/maps/place/Nuova+Ester+(S.N.C.)/@44.7498096,10.331841,17z/data=!3m1!4b1!4m5!3m4!1s0x47806cac5ccb2889:0x23accbf50c0591f9!8m2!3d44.7498058!4d10.334035?hl=it;Maglificio Nuova Ester SAS di Ghirardi Giuseppe & C.;Via Martinella, 100 - Localitï¿½ Alberi;PARMA;PR;44.7498096;10.331841;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=12
14;;;https://www.google.it/maps/place/Massimo+Osti+Archive/@44.4092854,11.236013,11z/data=!4m5!3m4!1s0x477e2b5cb7ececf9:0xfb267b359c35f26f!8m2!3d44.4885903!4d11.3389931?hl=it;Massimo Osti Archive;Via Parigi, 11;Bologna;BO;44.4092854;11.236013;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=14
10;;;https://www.google.it/maps/place/Max+Maglierie+S.R.L./@44.9196961,10.8221895,17z/data=!3m1!4b1!4m5!3m4!1s0x477f8861b80410d7:0x6fc2155e82f5ac6!8m2!3d44.9196923!4d10.8243835?hl=it;Max Maglierie srl;via novella 14/16;Reggiolo;RE;44.9241897;10.8114878;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=10
5;;;https://www.google.it/maps/place/Puntoart+Srl/@44.1519533,12.4304686,17z/data=!3m1!4b1!4m5!3m4!1s0x132cc0ee394ea729:0x6418386c71b27697!8m2!3d44.1519495!4d12.4326573?hl=it;PUNTOART;via del progresso,109;san mauro pascoli;FC;44.1519533;12.4304686;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=5
19;;;https://www.google.it/maps/place/Stib+19+Spa/@44.5880881,11.370501,17z/data=!3m1!4b1!4m5!3m4!1s0x477fd4be4fc05797:0x57ded8fe1a47bc30!8m2!3d44.5880881!4d11.3726843;Stib 19 srl;Blocco 19 Centergross;Funo di Argelato;BO;44.5880881;11.370501;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=19
20;;;https://www.google.it/maps/place/Fondazione+Cassa+Di+Risparmio+Di+Imola/@44.3527876,11.7146324,131m/data=!3m1!1e3!4m5!3m4!1s0x132b4a7bacdd0889:0x4f9f6947fcd3f663!8m2!3d44.3527298!4d11.714969?hl=it&authuser=0;Renato Manzoni;P.zza Matteotti, 8;Imola;BO;44.3527876;11.7146324;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=20
21;;;https://www.google.it/maps/place/Modateca+Deanna+S.R.L./@44.738468,10.7836769,17z/data=!3m1!4b1!4m5!3m4!1s0x477ff46e38a93283:0xb39fd2de3fa720b0!8m2!3d44.7384642!4d10.7858709?hl=it&authuser=0;Modateca Deanna srl;VIALE RESISTENZA, 35;CORREGGIO;RE;44.738468;10.7836769;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=21
22;;;https://www.google.it/maps/place/smart+leather+srl+TOMASSINI+ITALIA/@44.1173549,12.4144242,17z/data=!3m1!4b1!4m5!3m4!1s0x132cb895421b929b:0xb568c95e77798b66!8m2!3d44.1173549!4d12.4166182?hl=it&authuser=0;Smart Leather sas;via della liberazione, 29/31;san mauro pascoli;FC;44.1173549;12.414442;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=22
23;;;https://www.google.it/maps/place/Ave+Caprice/@44.794199,10.3498816,17z/data=!3m1!4b1!4m5!3m4!1s0x47806ad4d9270a2d:0x4dd4382bc262296d!8m2!3d44.7941952!4d10.3520756?hl=it&authuser=0;Ave Caprice di Tettamanti Ave;Via Emilia Est, 107B;PARMA;PR;44.794199;10.3498816;http://192.107.61.226/erchives/imple/listezoom.asp?lingua=it&xmlsrclista=/erchives/imple/archiviSINGOLA-lista.xml&k=23