id1,CAPPELLE-ORATORI-TABERNACOLI,0.9,Cappella Coccapani del Palazzo Vescovile,10.631668,44.698060,E' uno degli spazi misteriosi del complesso episcopale cittadino
id2,ARCHI-PORTE-MURA-PORTICI,0.9,Arco del Follo,10.639009,44.695806,Realizzato durante l’ampliamento di Via Emilia S. Pietro fra il 1797 e l’inizio del 1800 celebra il risanamento della zona avvenuta negli anni delle vittorie napoleoniche
id3,ARCHI-PORTE-MURA-PORTICI,0.9,Arco di Porta Santa Croce,10.635957,44.702044,La porta è al termine di via Roma e fu ultimata ai tempo del podesta Guido Lambertini di Bologna (fine XII secolo)
id4,ABBAZIE-MONASTERI-SANTUARI,0.9,Basilica della Beata Vergine della Ghiara,10.626526,44.698922,Tempio dedicato alla Beata Vergine della Ghiara
id5,CHIESE-PIEVI-BATTISTERI,0.9,Battistero-Chiesa di S. Giovanni Battista,10.631063,44.697983,Edificio del XII secolo caratterizzato da una pianta a croce latina al cui centro si trovava il fonte battesimale.Alla fine del XV secolo il Vescovo Arlotti lo trasformò in stile rinascimentale
id6,BIBLIOTECHE STORICHE,0.9,Biblioteca A. Panizzi - Sede Centrale,10.629232,44.696555,Biblioteca municipale
id7,BIBLIOTECHE STORICHE,0.9,Biblioteca delle Arti - Emeroteca dei Civici Musei,10.629124,44.700495,Specializzate in archeologia e storia dell'arte
id8,PIAZZE-LOGGE-VIE STORICHE,0.9,Broletto,10.630898,44.697478,Loggiato esterno del Broletto tra piazza Prampolini e piazza S. Prospero
id9,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa Del Cristo,10.629358,44.696146,Costruito come oratorio e successivamente trasformato nel corso del XVIII secolo in Chiesa a stile tipicamente barocco. Parrocchia Chiesa Ortodossa Romena
id10,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa dei Santi Girolamo e Vitale,10.636122,44.694433,Di sicura suggestione è la visita alla chiesa frutto della più matura esperienza progettuale barocca
id11,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di S. Pietro,10.637383,44.696496,Nel 1586 i monaci benedettini fanno costruire una nuova chiesa nel luogo dove fin dal 1140 esisteva una chiesa dedicata a San Pietro (segue i lavori il reggiano Prospero Pacchioni). Il nome corretto è dei SS. Pietro e Prospero
id12,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di San Filippo Neri,10.634130,44.695175,Sorta nel 1672 e consacrata nel 1743 non ha facciata ed è incuneata sul retro di quell'antico edificato di cui sin dal suo nascere era stata propaggine
id13,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di San Giorgio,10.629653,44.696542,L'attuale costruzione risale al 1638 quando si decise di rifabbricare completamente il vecchio edificio le cui notizie risalgono al 1146
id14,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di San Giovanni Evangelista,10.628873,44.698369,Nota come Chiesa di San Giovannino. La struttura attuale risale al XVI secolo
id15,CHIESE-PIEVI-BATTISTERI,0.9,Chiesa di Santo Stefano,10.625415,44.700390,La seconda metà del XI sec. è la probabile epoca della costruzione della primitiva chiesa di S.Stefano
id16,ABBAZIE-MONASTERI-SANTUARI,0.9,Chiostri Benedettini di San Pietro,10.637984,44.696588,L’ex Monastero apparteneva ai Monaci Benedettini che officiavano nell'annessa Chiesa di San Pietro
id17,ABBAZIE-MONASTERI-SANTUARI,0.9,Chiostri di San Domenico,10.637255,44.698632,Ex Convento di San Domenico detto anche degli Stalloni
id18,MONUMENTI ALLA MEMORIA,0.9,Cimitero Ebraico,10.618544,44.690380,Il Cimitero degli Israeliti fu inaugurato nel 1808 con la sepoltura del  giovane nobile ebreo  Beniamino Foà
id19,MUSEI-GALLERIE,0.9,Collezione Maramotti,10.601056,44.709551,Vecchia sede produttiva di Max Mara convertita in spazio espositivo che espone oltre duecento opere rappresentative delle principali tendenze artistiche italiane e internazionali dal 1945 a oggi
id20,ARCHEOLOGIA INDUSTRIALE,0.9,Complesso Ex Locatelli - Centro Internazionale della cultura e creatività,10.644568,44.700752,Nella zona Nord della città è sorta all'inizio di questo secolo la prima area industriale conosciuta come Le Reggiane
id21,OPERE ARTISTICHE,0.9,Danza di Astri e di Stelle - Eliseo Mattiacci,10.623211,44.707287,La nuova opera di Mattiacci è stata creata appositamente per l’ampia distesa verde che si estende a sud dell’Ex Fonderia ed è sede della Fondazione Nazionale della Danza – Aterballetto
id22,OPERE ARTISTICHE,0.9,Evoluzione dell'ingegno - Franco Reggiani,10.624110,44.721606,Scultura composta con le parti fondamentali di sette differenti autovetture della Scuderia Ferrari
id23,VILLE-DIMORE-TEATRI STORICI,0.9,Ex Caserma Zucchi sede Università di Modena e Reggio Emilia,10.628523,44.702323,Antico Foro Boario voluto dal Duca DI Modena Francesco IV era adibito a conservatoria delle riserve dell'annona e sede del mercato bestiame
id24,MUSEI-GALLERIE,0.9,Fondazione Palazzo Magnani,10.627191,44.697274,Il Palazzo appartenne per un secolo ai conti Becchi per poi passare all'inizio del Settecento alla famiglia nobile dei Chioffi che nel 1841 ne promossero restauri importanti
id25,FONTANE-PONTI-CANALI,0.9,Fontana in Piazza Martiri del 7 luglio,10.631375,44.700393,La fontana è lunga 46 metri-quanto il Teatro Valli- larga 12 e profonda appena 2 centimetri
id26,MUSEI-GALLERIE,0.9,Galleria Parmeggiani,10.628849,44.700492,La Galleria raccoglie la collezione d'arte di Luigi Parmeggiani
id27,GIARDINI-PARCHI STORICI,0.9,Giardini Pubblici - Parco del Popolo,10.629530,44.701240,Vasto spazio verde (piante secolari) collocato nel centro storico
id28,OPERE ARTISTICHE,0.9,Gruppo scultoreo in San Giovanni Evangelista,10.628838,44.698372,Il Compianto era originariamente nella cappella del Sepolcro della chiesa cittadina di San Francesco e apparteneva alla Compagnia dei Battuti
id29,ARCHITETTURA MODERNA,0.9,I Ponti dell'Architetto Santiago Calatrava,10.637168,44.727302,I ponti di Santiago Calatrava sono le nuove porte della nostra città
id30,FONTANE-PONTI-CANALI,0.9,I Ponti dell'Architetto Santiago Calatrava,10.637770,44.728382,I ponti di Santiago Calatrava sono le nuove porte della nostra città
id31,MONUMENTI ALLA MEMORIA,0.9,Il Cimitero Monumentale,10.623093,44.692363,Il Cimitero Monumentale suburbano fu edificato nel 1808 su progetto di Domenico Marchelli (1764-1832)
id32,VILLE-DIMORE-TEATRI STORICI,0.9,Il Mauriziano - dimora estiva del poeta Ludovico Ariosto,10.672200,44.681752,Villa quattrocentesca situata lungo la Via Emilia a tre chilometri dalla città
id34,MUSEI-GALLERIE,0.9,La Casa dei Burattini di Otello Sarzi,10.631089,44.693539,Mostra antologica di proprietà della Fondazione con le opere del grande burattinaio Otello Sarzi scomparso nel 2001
id35,OPERE ARTISTICHE,0.9,La Crocifissione (1624-25) Guercino Basilica della Ghiara,10.626284,44.699042,Nella Basilica della B.V. della Ghiara è collocata la grande pala eseguita tra il 1624 ed il 1625 da Giovanni Francesco Barbieri detto il Guercino (1591-1666)
id36,ARCHEOLOGIA INDUSTRIALE,0.9,La Fonderia ex Lombardini,10.622299,44.707721,Sede stabile della Fondazione Nazionale Danza - Aterballetto
id37,OPERE ARTISTICHE,0.9,La scultura di Marco Gerra,10.630646,44.704534,La scultura è alta 10 metri e pesa 90 quintali
id38,PIAZZE-LOGGE-VIE STORICHE,0.9,La Sinagoga e il Ghetto Ebraico,10.628486,44.699917,L'insediamento del ghetto ebraico nella città risale circa alla seconda metà del XVII secolo compreso fra le vie : Caggiati - della Volta - dell'Aquila - Monzermone
id39,OPERE ARTISTICHE,0.9,L'Araba Fenice - Luciano Fabro,10.628682,44.702353,L’opera  è una colonna di marmo travertino-oro iraniano alta circa sette metri e leggermente rastremata verso l’alto
id40,OPERE ARTISTICHE,0.9,Less Than - Robert Morris,10.637181,44.698624,L’opera permanente di Robert Morris è stata pensata appositamente per il segreto e silenzioso Chiostro Piccolo
id41,MONUMENTI ALLA MEMORIA,0.9,Memoriale alle 39 vittime dell'Heysel,10.639750,44.693014,Questo Monumento alla Memoria delle 39 vittime della tragedia Heysel è diventato simbolo contro la violenza negli stadi
id42,MONUMENTI ALLA MEMORIA,0.9,Monumento ai Caduti,10.631547,44.700386,Il monumento è stato inaugurato il 30 ottobre 1927 in occasione del quinto anniversario della marcia su Roma
id43,OPERE ARTISTICHE,0.9,Monumento ai Concordi,10.631587,44.702450,Opera funeraria romana che risale all’età imperiale posta nei giardini nel 1930
id44,MONUMENTI ALLA MEMORIA,0.9,Monumento alla Resistenza,10.631754,44.700266,Monumento alla Resistenza reggiana inaugurato il 25 aprile 1958
id45,MONUMENTI ALLA MEMORIA,0.9,Monumento dedicato alle Maestrine d'Italia,10.626680,44.694509,Un riconoscimento unico in Italia dedicato alle giovani maestre che portarono l'insegnamento della lingua nelle località più sperdute d'Italia
id46,OPERE ARTISTICHE,0.9,Mosaico recuperato nella Cripta del Duomo,10.631044,44.697648,Un meraviglioso tappeto di pietra della tarda antichità romana decorato con simboli pagani
id47,MUSEI-GALLERIE,0.9,Museo Cappuccini,10.633570,44.701959,Sono conservate all'interno del museo opere di artisti dei secoli XVII e XVIII
id48,MUSEI-GALLERIE,0.9,Museo del Santuario della Beata Vergine della Ghiara,10.626284,44.698939,Il museo è sistemato al pianterreno del chiostro presso la Basilica della B.V. della Ghiara. Il Tesoro della Ghiara è conservato nelle tre sale del museo
id49,MUSEI-GALLERIE,0.9,Municipio e Museo del Tricolore,10.630125,44.697314,Sono esposti documenti e cimeli relativi alla storia della bandiera nazionale della sua origine e delle diverse forme che assunse fino alla fine dell'epoca napoleonica
id50,MUSEI-GALLERIE,0.9,Museo della Storia della Psichiatria,10.662135,44.690326,Dopo le operazioni di restauro dell’immobile cittadini e studiosi possono ora visionare strumentie materiali che hanno fatto la storia della psichiatria in Italia
id51,MUSEI-GALLERIE,0.9,Museo Diocesano di Reggio Emilia-Guastalla,10.631668,44.698060,Si tratta di tre saloni posti al pianterreno del Palazzo Vescovile “Estense” realizzato da Bartolomeo Avanzini a metà Seicento
id52,MUSEI-GALLERIE,0.9,Museo Sala Storica dell'Arma di Cavalleria,10.637566,44.696374,Esposizione permanente di divise vessilli copricapi e documenti testimoni dell'evoluzione dell'Arma Cavalleria dagli storici Lancieri sino ai primi reparti motorizzati
id53,OPERE ARTISTICHE,0.9,Obelisco di Piazza Gioberti,10.626835,44.699845,L'obelisco di granito è alto 17.75 metri
id54,ARCHEOLOGIA INDUSTRIALE,0.9,Officina delle Arti,10.615448,44.709018,Spazio di oltre 1500 mq. che nasce come fabbrica - ex fonderia - diventa contenitore di arte dove gli artisti possono trovare spazi/laboratorio individuali e spazi di attività comuni
id55,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo Bussetti o Busetti,10.630811,44.698521,Il Palazzo è stato oggetto di recente ristrutturazione e ospita attività commerciali
id56,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo Carmi,10.628188,44.700679,Sede dell'Archivio di Stato. Sorge sull' area occupata in origine dalla Chiesa di S. Spirito costruita nel 1551
id57,MUSEI-GALLERIE,0.9,Palazzo Casotti,10.630329,44.697028,Sede espositiva di mostre temporanee a piano terra
id58,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo da Mosto,10.636346,44.699154,Si tratta di una delle più significative dimore reggiane quattrocentesche
id59,MUSEI-GALLERIE,0.9,Palazzo dei Musei,10.632101,44.700240,Nuova galleria per mostre- spazi per laboratorio-Agorà- Fab Lab- nuova libreria e wi-fi
id60,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo del Capitano del Popolo,10.630861,44.698533,Costruito nel 1280  ha subito diversi restauri nei secoli successivi e nel 1515 vi si aprì l'ospizio del Cappello Rosso oggi Albergo Posta
id61,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo del Comune e Sala Tricolore,10.630196,44.697396,Sede Municipale dal 1434: una data scolpita in un blocco di arenaria nella parte destra dell'arco di via Farini ricorda che la costruzione della sede comunale iniziò nel 1414
id62,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo Magnani,10.627272,44.697085,Dove ora si snoda Corso Garibaldi scorreva il Crostolo e il muro verso levante del cinquecentesco Palazzo Becchi-Magnani è fatto con i ciottoli del torrente poi deviato fuori dalla città
id63,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo Rocca Saporiti,10.627663,44.685528,Ex Casinazzo.Il Palazzo di struttura tardocinquecentesca conserva in un salone un soffitto a cassettoni e un fregio dipinti da artisti reggiani della seconda metà del sedicesimo secolo
id64,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo Sacrati - Fontanelli,10.635520,44.696813,Portico e facciata del palazzo furono fatti costruire nel 1492 dai tre fratelli dei Fontanelli ristrutturando un preesistente edificio che la stessa famiglia aveva acquistato dai Da Correggio nel 1451
id65,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo San Giorgio,10.629081,44.696512,Edificio di origini settecentesche voluto dai Gesuiti per istituirvi un collegio e diversi tipi di scuole
id66,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo Spalletti Trivelli (già Guicciardi),10.632499,44.698321,Il palazzo posto in angolo con via S. Nicolò è un piccolo scrigno d'arte nel centro della città
id67,OPERE ARTISTICHE,0.9,Pesce fuor d'acqua,10.636070,44.702204,Opera dello scultore Giovanni Menada
id68,PIAZZE-LOGGE-VIE STORICHE,0.9,Piazza Antonio Casotti,10.630362,44.697038,Raccolta attorno a Palazzo Casotti (costruito nel 1481 e antica sede del palazzo comunale e del Museo del Tricolore) e alla torre del Bordello (torre civica costruita nel 1489)
id69,PIAZZE-LOGGE-VIE STORICHE,0.9,Piazza dei Teatri,10.630938,44.700445,In questo ampio spazio si affacciano il Teatro Valli- il Teatro Ariosto- il Teatro Cavallerizza- Palazzo Carmi e la Chiesa di San Francesco
id70,PIAZZE-LOGGE-VIE STORICHE,0.9,Piazza del Monte,10.631037,44.698613,Ora piazza Cesare Battisti - Piccola piazza ovoidale su cui si affacciano il Palazzo del Capitano del Popolo e il Palazzo del Monte di Pietà
id71,PIAZZE-LOGGE-VIE STORICHE,0.9,Piazza Fontanesi,10.631219,44.694662,Ampia piazza alberata su cui si affacciano botteghe di antiquariato
id72,PIAZZE-LOGGE-VIE STORICHE,0.9,Piazza Prampolini,10.629787,44.699715,La piazza principale della città detta anche piazza Grande
id73,PIAZZE-LOGGE-VIE STORICHE,0.9,Piazza San Prospero,10.631928,44.697278,La piazza antistante la Chiesa di San Prospero è comunemente detta Piazza Piccola (Piasa Céca)
id74,FONTANE-PONTI-CANALI,0.9,Ponte di San Pellegrino,10.622880,44.683881,Il ponte attraversa il torrente Crostolo e fu realizzato nella seconda metà del XVIII secolo
id75,ARCHITETTURA MODERNA,0.9,Reggio Emilia AV Mediopadana,10.653409,44.724568,L'opera si propone funzionalmente come hub di scambio per un bacino di quasi due milioni di potenziali utenti per l’Area vasta “Emilia occidentale-sud Lombardia”
id76,MUSEI-GALLERIE,0.9,Rete dei Musei Civici,10.632148,44.700370,Collezioni che vanno dal Paleolitico ai nostri giorni presentate in cinque sedi museali
id77,OPERE ARTISTICHE,0.9,Rotonda Tricolore,10.579438,44.716600,Scultura realizzata da un modello dell’artista reggiano Marco Gerra posta sulla rotatoria all'ingresso ovest della città
id78,MUSEI-GALLERIE,0.9,Sala del Tricolore,10.630208,44.697450,Una visita alla Sala del Tricolore e all’annesso Museo del Tricolore è un momento indispensabile per scoprire l’anima della città che ha lottato per scrollarsi di dosso antiche servitù e per conquistare il proprio futuro nella libertà e nell’eguaglianza
id79,OPERE ARTISTICHE,0.9,Scultura Primavera,10.624297,44.691369,Scultura in marmo dedicata alla risorsa dell’acqua realizzata dallo scultore Luca Prandini
id80,MUSEI-GALLERIE,0.9,Spazio Gerra,10.628345,44.701118,Donato al Comune di Reggio Emilia dalla signora Anna Maria Ternelli Gerra con lo scopo di creare un nuovo luogo culturale della città dedicato al marito l’artista Marco Gerra
id81,FONTANE-PONTI-CANALI,0.9,Statua del Crostolo,10.630657,44.698081,La statua proviene dalla Villa Ducale di Rivalta dove era già presente nel 1754
id82,VILLE-DIMORE-TEATRI STORICI,0.9,Teatro Ariosto,10.628792,44.700826,Costruito fra il 1740 e il 1741 su disegno di Antonio Cugini e distrutto nel 1851 da un incendio era in origine definito il Teatro di Cittadella poichè sorgeva presso l'antico baluardo difensivo voluto dai Gonzaga durante il loro dominio a Reggio Emilia
id83,VILLE-DIMORE-TEATRI STORICI,0.9,Teatro Municipale Romolo Valli,10.631346,44.700399,Il maestoso complesso del Teatro è nello spazio urbano occupato dall'antica cittadella e copre un'area di 3.890 mq
id84,ARCHEOLOGIA INDUSTRIALE,0.9,Tecnopolo (ex Officine Reggiane),10.646701,44.701424,Centro di ricerca meccanica -meccatronica- costruzioni- agroalimentare- energia & ambiente
id85,CASTELLI-TORRI-CAMPANILI,0.9,Torre campanaria dell'Orologio - (Palazzo Monte di Pietà),10.630688,44.698281,La Torre dell'Orologio del Palazzo del Monte di Pietà (oggi sede Banca Unicredit di Reggio Emilia) fu costruita nel 1216 ( altezza m. 47)
id86,CASTELLI-TORRI-CAMPANILI,0.9,Torre del Bordello,10.630372,44.697331,Torre civica costruita nel 1489 che prese il nome dal vicino il castelletto utilizzato come postribolo
id87,OPERE ARTISTICHE,0.9,Whirls and Twirls 1 - Sol LeWitt,10.629222,44.696540,L’opera è stata realizzata sulla volta della Sala di Lettura della Biblioteca Panizzi da un gruppo coordinato da tre assistenti di Sol LeWitt con la collaborazione di nove giovani artisti reggiani
id88,CAPPELLE-ORATORI-TABERNACOLI,0.9,Chiesa dei Santi Carlo e Agata,10.632080,44.69634,Nascosto tra gli altri edifici si trova l’oratorio dei Santi Carlo e Agata radicalmente ristrutturato nella seconda metà del Seicento
id89,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo dei Mercanti del Panno,10.632114,44.695829,Risale alla fine del Quattrocento (completato nel 1541) sede della corporazione fino al Settecento.Il palazzo si affacciava sul ramo principale del canale di Secchia, da cui traeva l’acqua necessaria per il lavaggio delle lane
id90,PIAZZE-LOGGE-VIE STORICHE,0.9,Piazza Gioberti,10.626792,44.699839,Caratterizzata dall’obelisco eretto nel 1843 in onore di Adelgonda di Baviera sposa del duca di Modena Francesco V
id91,OPERE ARTISTICHE,0.9,Giano Bifronte,10.627280,44.697067,Posto sull’angolo con Via Vicedomini (attribuito al Clemente) porta la data 1576
id92,PIAZZE-LOGGE-VIE STORICHE,0.9,Piazza S.Lorenzo,10.628361,44.6973698,Piccola e aggraziata piazzetta dominata da Palazzo Calcagni con importanti testimonianze cinquecentesche a partire dal cornicione in cotto con ovuli e dentelli
id93,VILLE-DIMORE-TEATRI STORICI,0.9,Casa Fiordibelli-Boiardi,10.6346844,44.6970684,All'angolo con via Boiardi è un palazzo nobiliare quattrocentesco
id94,VILLE-DIMORE-TEATRI STORICI,0.9,Palazzo Ruini,10.637047,44.6963806,Palazzo di origini quattrocentesche: per la sua parte più antica affacciata su Via San Girolamo si è prospettato un intervento del famoso architetto ferrarese Biagio Rossetti